feat,cat,class,classcat,epsilon,nx,ncx,nc
ejerHistory,BB*A**,obesity,1,3.570869350993968,219,68,228
ejerHistory,B*BA**,obesity,1,3.559181523753879,108,38,228
ejerHistory,BBBA**,obesity,1,3.554190365104433,94,34,228
ejerHistory,B**A**,obesity,1,3.4490705668606,308,90,228
ejerHistory,B*****,obesity,1,3.1703236571559232,651,171,228
ejerHistory,BB****,obesity,1,3.1611988349944147,509,137,228
ejerHistory,*BB***,obesity,1,3.11823270124169,399,110,228
ejerHistory,BBB***,obesity,1,3.0217704617185137,353,98,228
ejerHistory,*B****,obesity,1,2.9938592305637766,608,159,228
ejerHistory,*BBA**,obesity,1,2.9802867381745783,106,35,228
ejerHistory,AA****,obesity,0,4.847145178138051,324,291,848
ejerHistory,AAA***,obesity,0,4.09379484853576,253,226,848
ejerHistory,A*****,obesity,0,4.022017560679126,424,368,848
ejerHistory,A**A**,obesity,0,3.970286334063642,285,252,848
ejerHistory,AA*A**,obesity,0,3.9071098888687863,233,208,848
ejerHistory,A*A***,obesity,0,3.894554261052382,306,269,848
ejerHistory,*A****,obesity,0,3.691695303869583,465,399,848
ejerHistory,AAAA**,obesity,0,3.320420889561805,211,186,848
ejerHistory,A*AA**,obesity,0,3.2723250575262512,251,219,848
ejerHistory,*AA***,obesity,0,3.0393859195290043,356,304,848
condiHistory,B*B***,obesity,1,5.2523806273609255,334,110,228
condiHistory,BBB***,obesity,1,5.199266861049972,317,105,228
condiHistory,*BB***,obesity,1,4.597395983068796,345,108,228
condiHistory,BB****,obesity,1,3.991470195772007,563,158,228
condiHistory,B*****,obesity,1,3.9683804825317663,662,182,228
condiHistory,BBBB**,obesity,1,3.853680715232519,157,53,228
condiHistory,**B***,obesity,1,3.791482375495668,409,118,228
condiHistory,B*BB**,obesity,1,3.6629188540635766,168,55,228
condiHistory,B*BA**,obesity,1,3.626665036477799,165,54,228
condiHistory,BB*B**,obesity,1,3.4741230748447425,168,54,228
condiHistory,A*****,obesity,0,4.9792059807385565,412,366,848
condiHistory,AA****,obesity,0,4.896339454255418,358,320,848
condiHistory,AAA***,obesity,0,4.565178023005565,311,278,848
condiHistory,A*A***,obesity,0,4.453427975637204,337,299,848
condiHistory,AAAA**,obesity,0,4.254971076497165,291,259,848
condiHistory,AA*A**,obesity,0,4.1488956880264185,311,275,848
condiHistory,A*AA**,obesity,0,4.1014546306490685,315,278,848
condiHistory,A**A**,obesity,0,4.0758335907069245,344,302,848
condiHistory,*A****,obesity,0,3.987700011287078,457,395,848
condiHistory,*AA***,obesity,0,3.8605506562543535,393,341,848
saludHistory,B*****,obesity,1,6.1239636608729295,441,146,228
saludHistory,B**A**,obesity,1,5.3991824858869775,341,113,228
saludHistory,BB****,obesity,1,5.374599284963945,338,112,228
saludHistory,B*A***,obesity,1,4.829568482421599,275,91,228
saludHistory,B*AA**,obesity,1,4.579699669630804,259,85,228
saludHistory,BB*A**,obesity,1,4.438880928254006,255,83,228
saludHistory,BBB***,obesity,1,3.961761304889268,155,53,228
saludHistory,B*B***,obesity,1,3.7654092171854914,166,55,228
saludHistory,BBA***,obesity,1,3.6582046423184056,183,59,228
saludHistory,BAAA**,obesity,1,3.4115787222003613,82,30,228
saludHistory,A*****,obesity,0,5.134461882819386,631,550,848
saludHistory,A**A**,obesity,0,5.031995855585758,560,490,848
saludHistory,A*A***,obesity,0,4.605894265183047,536,466,848
saludHistory,A*AA**,obesity,0,4.304105638485334,508,440,848
saludHistory,AA*A**,obesity,0,4.258253487349557,494,428,848
saludHistory,AA****,obesity,0,4.206804304426108,543,468,848
saludHistory,AAA***,obesity,0,4.008058789416775,481,415,848
saludHistory,AAAA**,obesity,0,3.75876151954954,457,393,848
saludHistory,AB****,obesity,0,3.299040255359412,88,82,848
saludHistory,A*BA**,obesity,0,3.0604392730934102,52,50,848
estresHistory,AB*A**,obesity,1,3.8570964445365044,4,4,228
estresHistory,ABAA**,obesity,1,3.3403435058152486,3,3,228
estresHistory,AB****,obesity,1,2.425110075973769,92,29,228
estresHistory,A*BA**,obesity,1,2.2026079846748123,13,6,228
estresHistory,ABBA**,obesity,1,1.9285482222682522,1,1,228
estresHistory,ABA***,obesity,1,1.7827514077757771,15,6,228
estresHistory,AABA**,obesity,1,1.7358231582892136,12,5,228
estresHistory,ABB***,obesity,1,1.6549734407223382,76,22,228
estresHistory,*BAA**,obesity,1,1.5928721727338029,34,11,228
estresHistory,A**A**,obesity,1,1.4682035822049728,120,32,228
estresHistory,B*BA**,obesity,0,1.7915040731529628,41,37,848
estresHistory,*A*B**,obesity,0,1.747549253410787,413,340,848
estresHistory,*ABB**,obesity,0,1.566945430592955,256,212,848
estresHistory,AA*B**,obesity,0,1.4381031757484586,298,245,848
estresHistory,BABA**,obesity,0,1.3718875579646144,7,7,848
estresHistory,*AB***,obesity,0,1.3681217395683165,275,226,848
estresHistory,BBBA**,obesity,0,1.3448147041102227,34,30,848
estresHistory,BAB***,obesity,0,1.2813897359616544,84,71,848
estresHistory,AABB**,obesity,0,1.2674009672351818,179,148,848
estresHistory,*A****,obesity,0,1.2463673955654675,552,447,848
pesoHistory,BB****,obesity,1,10.984726951228518,483,201,228
pesoHistory,BBB***,obesity,1,9.945114628322283,285,129,228
pesoHistory,B*****,obesity,1,9.45147138163393,594,220,228
pesoHistory,*B****,obesity,1,9.42068641734279,537,203,228
pesoHistory,B*B***,obesity,1,9.25509175910659,306,131,228
pesoHistory,*BB***,obesity,1,8.815780210947462,316,131,228
pesoHistory,BBBB**,obesity,1,8.648728569526588,147,74,228
pesoHistory,BB*B**,obesity,1,8.423762330071035,153,75,228
pesoHistory,B*BB**,obesity,1,8.157393232547573,154,74,228
pesoHistory,*BBB**,obesity,1,7.950480876296071,160,75,228
pesoHistory,A*****,obesity,0,10.441204143515801,478,470,848
pesoHistory,AA****,obesity,0,9.977458881363859,425,419,848
pesoHistory,A*A***,obesity,0,9.744989534273355,399,394,848
pesoHistory,A**A**,obesity,0,9.708548507191102,414,407,848
pesoHistory,AAA***,obesity,0,9.423577331553952,376,371,848
pesoHistory,*A****,obesity,0,9.375934427527927,537,512,848
pesoHistory,AA*A**,obesity,0,9.311745632749222,377,371,848
pesoHistory,A*AA**,obesity,0,9.309217031959529,368,363,848
pesoHistory,AAAA**,obesity,0,9.017069526285653,348,343,848
pesoHistory,*AA***,obesity,0,8.812883331818368,466,445,848
